INCIDENT_KEY,OCCUR_DATE,OCCUR_TIME,BORO,PRECINCT,JURISDICTION_CODE,LOCATION_DESC,STATISTICAL_MURDER_FLAG,PERP_AGE_GROUP,PERP_SEX,PERP_RACE,VIC_AGE_GROUP,VIC_SEX,VIC_RACE,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,Lon_Lat
24050482,8/27/06,5:35:00,BRONX,52,0,,TRUE,,,,25-44,F,BLACK HISPANIC,1017541.563,255918.875,40.86905819,-73.87963173,POINT (-73.87963173099996 40.86905819000003)
77673979,3/11/11,12:03:00,QUEENS,106,0,,FALSE,,,,65+,M,WHITE,1027543,186095,40.6773669,-73.84392019,POINT (-73.84392019199998 40.677366895000034)
203350417,10/6/19,1:09:00,BROOKLYN,77,0,,FALSE,,,,18-24,F,BLACK,995325,185155,40.67488574,-73.96007502,POINT (-73.96007501899999 40.674885741000026)
80584527,9/4/11,3:35:00,BRONX,40,0,,FALSE,,,,<18,M,BLACK,1007453,233952,40.80879781,-73.91618413,POINT (-73.91618413199996 40.80879780500004)
90843766,5/27/13,21:16:00,QUEENS,100,0,,FALSE,,,,18-24,M,BLACK,1041267.375,157133.5156,40.59779625,-73.79468554,POINT (-73.79468553799995 40.597796249000055)
92393427,9/1/13,4:17:00,BROOKLYN,67,0,,FALSE,,,,<18,M,BLACK,1001693.938,170112.8906,40.63358818,-73.93715331,POINT (-73.93715330699996 40.63358818100005)
73057167,6/5/10,21:16:00,BROOKLYN,77,0,,FALSE,,,,<18,M,BLACK,1001506.75,184055.6563,40.6718584,-73.93779205,POINT (-73.93779204599997 40.67185839800004)
211362213,3/20/20,21:27:00,BROOKLYN,81,0,,FALSE,,,,25-44,M,BLACK,1001586.375,189839.0313,40.68773229,-73.93749012,POINT (-73.93749012499995 40.68773229400006)
137564752,7/4/14,0:25:00,QUEENS,101,0,,FALSE,,,,18-24,M,BLACK,1051520.375,155790.4063,40.59403781,-73.75777869,POINT (-73.75777869199999 40.59403780700006)
147024011,10/18/15,1:33:00,QUEENS,106,0,,FALSE,,,,18-24,M,BLACK,1038231.313,184701.4219,40.67348312,-73.80539763,POINT (-73.80539763499996 40.67348312300004)
82333894,12/26/11,3:00:00,BROOKLYN,71,0,,FALSE,,,,<18,F,BLACK,995908,183618,40.67066627,-73.95797591,POINT (-73.95797590799998 40.67066627200006)
184961804,7/9/18,19:35:00,BRONX,44,0,,TRUE,,,,45-64,M,BLACK,1007096,242091,40.83113799,-73.91744603,POINT (-73.91744603199999 40.83113799000006)
44975419,3/31/08,22:00:00,QUEENS,113,0,,TRUE,,,,25-44,M,BLACK,1049991.375,194715.125,40.70088883,-73.76290483,POINT (-73.76290483399998 40.70088882800008)
214693508,6/27/20,0:35:00,BROOKLYN,69,0,,FALSE,,,,25-44,M,BLACK,1012270.375,172117.6406,40.63906365,-73.89903954,POINT (-73.89903954399995 40.639063650000026)
87821868,11/25/12,1:20:00,BRONX,46,0,,FALSE,,,,25-44,M,BLACK,1011263.688,251671.5,40.85742188,-73.90234726,POINT (-73.90234725599998 40.85742187900007)
24378757,9/18/06,3:30:00,BROOKLYN,69,0,,FALSE,,,,18-24,M,BLACK,1009296.938,170104.4063,40.63354666,-73.90976078,POINT (-73.90976077999994 40.63354665900005)
137207148,6/12/14,8:56:00,BROOKLYN,73,2,,FALSE,,,,45-64,M,BLACK,1009968.25,182502.4531,40.66757467,-73.90729486,POINT (-73.90729486299995 40.66757466800004)
29357208,5/31/07,21:50:00,BRONX,47,0,,TRUE,18-24,M,BLACK,25-44,M,BLACK,1021856.313,259362.5469,40.87849267,-73.86401192,POINT (-73.86401191799996 40.87849267400003)
39251534,2/19/08,10:49:00,QUEENS,106,0,,TRUE,,,,18-24,M,BLACK,1037371.5,188229.5625,40.68317225,-73.80846946,POINT (-73.80846945899998 40.68317225000005)
44751685,3/23/08,5:11:00,QUEENS,103,0,,TRUE,,,,25-44,M,BLACK,1042297.563,192834.7031,40.69578133,-73.7906687,POINT (-73.79066870299994 40.69578133400006)
165724972,6/9/17,23:18:00,QUEENS,113,0,,FALSE,,,,25-44,M,BLACK,1045670.063,193206.9219,40.69678022,-73.77850335,POINT (-73.77850335499994 40.696780223000076)
84768970,5/16/12,22:10:00,BRONX,46,0,,FALSE,,,,18-24,M,BLACK HISPANIC,1006593.188,247400.6406,40.8457127,-73.91924529,POINT (-73.91924528699997 40.84571269500003)
188192908,9/28/18,2:32:00,QUEENS,113,0,,FALSE,,,,25-44,M,BLACK,1046199.375,189795.8125,40.68741385,-73.77662588,POINT (-73.77662588099997 40.687413854000056)
220002827,11/1/20,1:40:00,BRONX,49,0,,TRUE,,,,25-44,M,BLACK,1021917.375,251014.5313,40.85557967,-73.86383803,POINT (-73.86383803099994 40.85557967300008)
16631511,6/1/06,11:40:00,BROOKLYN,75,2,MULTI DWELL - PUBLIC HOUS,FALSE,UNKNOWN,M,BLACK,18-24,M,BLACK,1022077.5,183185.3125,40.66940551,-73.86364087,POINT (-73.86364087499999 40.66940550700008)
16814011,6/13/06,20:56:00,BROOKLYN,70,0,MULTI DWELL - APT BUILD,TRUE,25-44,M,BLACK,25-44,M,BLACK,995793,173152,40.64193954,-73.95840838,POINT (-73.95840837999998 40.641939543000035)
27500997,3/19/07,20:42:00,BROOKLYN,75,0,,FALSE,,,,<18,M,BLACK,1017141,183798,40.67110691,-73.88143296,POINT (-73.88143295699996 40.67110691100004)
75736915,11/27/10,22:51:00,BROOKLYN,79,2,MULTI DWELL - PUBLIC HOUS,FALSE,,,,18-24,M,BLACK HISPANIC,998273.375,193028.6406,40.69649291,-73.94942946,POINT (-73.94942946399993 40.69649290500007)
216103884,8/3/20,0:13:00,BROOKLYN,73,0,,FALSE,,,,<18,M,BLACK,1009059.563,180294.4688,40.66151684,-73.91057853,POINT (-73.91057853199999 40.66151683500004)
74100030,8/11/10,0:57:00,QUEENS,113,0,,FALSE,,,,25-44,M,BLACK,1044357.313,192093.4375,40.69373299,-73.78324742,POINT (-73.78324741899996 40.69373298800008)
216560785,8/13/20,3:50:00,BRONX,46,0,,FALSE,,,,<18,M,BLACK,1012716,250857,40.85518176,-73.89710062,POINT (-73.89710062399996 40.85518175800007)
144732382,7/23/15,0:22:00,BROOKLYN,90,2,MULTI DWELL - PUBLIC HOUS,FALSE,25-44,M,WHITE HISPANIC,25-44,M,BLACK,1001019.875,196399.875,40.70574138,-73.93951647,POINT (-73.93951647099993 40.70574137600005)
68964080,12/17/09,13:45:00,MANHATTAN,20,0,MULTI DWELL - APT BUILD,TRUE,25-44,M,WHITE HISPANIC,45-64,F,WHITE HISPANIC,990838.625,225657.7031,40.78606022,-73.97620917,POINT (-73.97620917299997 40.78606022200006)
87108824,10/7/12,20:12:00,BROOKLYN,79,0,,FALSE,18-24,M,BLACK,18-24,F,BLACK,1000747.188,189984.875,40.68813421,-73.9405157,POINT (-73.94051570099998 40.68813420600003)
23564122,7/26/06,0:18:00,BROOKLYN,75,0,,TRUE,18-24,M,BLACK,45-64,M,BLACK,1017141,183798,40.67110691,-73.88143296,POINT (-73.88143295699996 40.67110691100004)
73911288,7/29/10,1:34:00,BROOKLYN,77,2,MULTI DWELL - PUBLIC HOUS,FALSE,,,,25-44,M,BLACK,1004579.75,183837.6719,40.67125356,-73.92671475,POINT (-73.92671475399999 40.67125355700006)
75293685,10/28/10,9:30:00,QUEENS,104,0,,TRUE,25-44,M,WHITE,18-24,F,WHITE HISPANIC,1007537,198312,40.71097496,-73.91600414,POINT (-73.91600414099997 40.71097495500004)
71701592,3/11/10,1:30:00,QUEENS,105,0,,FALSE,UNKNOWN,M,ASIAN / PACIFIC ISLANDER,25-44,M,WHITE,1057150,180974.9844,40.66311935,-73.73723601,POINT (-73.73723600799997 40.66311935200008)
149455199,1/17/16,0:08:00,BROOKLYN,72,0,,FALSE,18-24,M,BLACK HISPANIC,25-44,M,BLACK HISPANIC,982275.8125,175427.7188,40.6481932,-74.00711573,POINT (-74.00711572799997 40.64819320200007)
183190786,5/27/18,18:15:00,BRONX,40,0,,FALSE,,,,18-24,M,BLACK,1007726,238645,40.82167805,-73.91518155,POINT (-73.91518154599999 40.82167805200004)
194677549,3/13/19,21:17:00,STATEN ISLAND,122,0,,TRUE,18-24,M,WHITE,45-64,M,WHITE,953944.125,154833.8594,40.59161574,-74.10912077,POINT (-74.10912077499995 40.591615742000045)
85875439,7/22/12,21:35:00,BRONX,42,2,MULTI DWELL - PUBLIC HOUS,FALSE,<18,M,BLACK,25-44,M,BLACK,1011046.688,239814.2344,40.82487782,-73.90317908,POINT (-73.90317908399999 40.82487781900005)
175773152,3/12/18,3:40:00,QUEENS,102,0,PVT HOUSE,FALSE,25-44,M,BLACK,25-44,F,AMERICAN INDIAN/ALASKAN NATIVE,1031922.75,190474.5313,40.68936519,-73.82809924,POINT (-73.82809923699995 40.68936518700008)
151902140,4/6/16,19:44:00,MANHATTAN,25,2,MULTI DWELL - PUBLIC HOUS,FALSE,,,,45-64,M,BLACK,1001755.938,233152.75,40.80661721,-73.93676598,POINT (-73.93676598199994 40.80661720900008)
202578454,9/18/19,0:30:00,MANHATTAN,28,0,,FALSE,,,,45-64,M,BLACK,997405.8125,230838.4688,40.80027269,-73.95248416,POINT (-73.95248416399994 40.80027269000004)
33977870,8/24/07,21:50:00,BROOKLYN,73,0,MULTI DWELL - APT BUILD,FALSE,<18,M,BLACK,<18,F,BLACK,1008949.813,180854.5625,40.66305448,-73.91097206,POINT (-73.91097205999995 40.66305447500008)
26103369,1/5/07,13:54:00,BRONX,49,0,GROCERY/BODEGA,TRUE,18-24,M,WHITE HISPANIC,18-24,M,BLACK,1020677.188,246167.3281,40.84228075,-73.8683475,POINT (-73.86834749899998 40.842280749000054)
197700945,5/28/19,4:15:00,BROOKLYN,75,0,,FALSE,,,,25-44,M,BLACK,1017588.75,180904,40.66316186,-73.87983318,POINT (-73.87983318099998 40.663161857000034)
69453368,1/1/10,6:55:00,BROOKLYN,67,0,,FALSE,UNKNOWN,U,UNKNOWN,25-44,M,BLACK,1002660,171417,40.63716573,-73.93366916,POINT (-73.93366915899998 40.63716572900006)
89531650,3/9/13,0:35:00,BROOKLYN,73,0,,FALSE,,,,25-44,M,UNKNOWN,1007700,180317,40.66158238,-73.91547882,POINT (-73.91547882099997 40.66158238300005)
23354102,7/4/06,2:45:00,QUEENS,105,0,BAR/NIGHT CLUB,FALSE,UNKNOWN,M,BLACK,25-44,M,BLACK,1057465.5,204039.125,40.72642219,-73.73584812,POINT (-73.73584811699999 40.72642219000005)
143187179,5/26/15,0:40:00,BROOKLYN,76,0,,FALSE,,,,25-44,M,BLACK,987086.0625,188344.0781,40.68364551,-73.98977583,POINT (-73.98977582799995 40.683645512000055)
87670469,11/13/12,15:45:00,BROOKLYN,72,0,,FALSE,25-44,M,ASIAN / PACIFIC ISLANDER,18-24,M,BLACK,979850.25,174193.8906,40.64480574,-74.01585581,POINT (-74.015855807 40.64480573600008)
156442532,9/5/16,6:47:00,BROOKLYN,71,0,,FALSE,,,,18-24,M,BLACK,997703.5625,178036.7344,40.65534439,-73.95151428,POINT (-73.95151428099996 40.655344386000024)
25865878,12/19/06,10:05:00,QUEENS,101,0,,TRUE,25-44,M,BLACK,25-44,M,BLACK,1051005.375,156784.4219,40.59677006,-73.75962324,POINT (-73.75962323899995 40.596770063000065)
154563859,7/3/16,23:55:00,QUEENS,103,0,,FALSE,18-24,M,BLACK,18-24,M,BLACK HISPANIC,1040616.813,192273.7031,40.69425239,-73.79673454,POINT (-73.79673454299996 40.69425238800005)
184699355,7/3/18,0:13:00,BROOKLYN,73,2,MULTI DWELL - PUBLIC HOUS,FALSE,,,,18-24,F,BLACK,1010281.375,182200.4063,40.6667447,-73.90616731,POINT (-73.90616730899995 40.666744702000074)
146877501,10/12/15,4:03:00,MANHATTAN,13,0,,FALSE,25-44,M,BLACK,25-44,F,BLACK,987111.5625,208704.2344,40.7395293,-73.98967524,POINT (-73.98967523599998 40.739529299000026)
174579221,2/9/18,0:12:00,BROOKLYN,67,0,,FALSE,,,,25-44,M,BLACK,1008788.938,177637.0938,40.65422368,-73.91156363,POINT (-73.91156363399995 40.65422368000003)
66112200,9/24/09,19:59:00,BROOKLYN,69,0,GROCERY/BODEGA,FALSE,UNKNOWN,M,BLACK,18-24,M,BLACK,1012915.563,170622.0938,40.63495663,-73.89672119,POINT (-73.89672118599998 40.63495663000003)
161486738,1/31/17,22:45:00,QUEENS,102,0,,FALSE,25-44,M,BLACK,25-44,M,BLACK,1024875.875,191367.9531,40.69185257,-73.85350398,POINT (-73.85350398299994 40.69185257300006)
